Gender,Age,Current_Weight,BMR,Daily_Calories_Consumed,Daily_Calorie_Balance,Activity_Level,Sleep_Quality,Stress_Level,Daily_Weight_Change_Rate
F,56,157.5,2146.6,3521.7,1375.1,Moderately Active,Fair,4.0,0.0571
M,35,195.7,2881.0,4000.0,1119.0,Moderately Active,Poor,8.0,-0.462
M,21,191.5,2909.2,4000.0,1090.8,Lightly Active,Fair,5.0,0.0429
M,42,141.5,2303.3,3352.3,1049.0,Lightly Active,Excellent,2.0,0.0429
F,31,153.9,2235.7,3195.6,959.9,Lightly Active,Good,6.0,0.0429
M,26,202.9,2997.7,3803.8,806.0,Sedentary,Poor,5.0,-0.0795
M,43,182.8,2712.2,4000.0,1287.8,Very Active,Good,2.0,0.0571
F,19,100.0,1756.5,2148.7,392.2,Sedentary,Poor,3.0,-0.2563
M,37,184.5,2758.3,3406.3,647.9,Sedentary,Fair,9.0,-0.2375
F,45,197.8,2604.4,4000.0,1395.6,Moderately Active,Good,7.0,0.0571
F,24,144.9,2180.2,3225.2,1045.0,Lightly Active,Poor,7.0,-0.0886
F,25,190.3,2629.7,4000.0,1370.3,Very Active,Fair,6.0,0.0571
M,52,226.2,3100.4,4000.0,899.6,Moderately Active,Good,8.0,-0.2316
M,31,181.9,2762.7,3433.5,670.8,Sedentary,Good,4.0,0.0286
M,34,151.2,2441.1,3179.8,738.8,Lightly Active,Poor,8.0,-0.3311
M,53,154.3,2377.0,3544.5,1167.5,Moderately Active,Poor,4.0,-0.1373
M,57,170.4,2517.7,3378.1,860.4,Lightly Active,Poor,8.0,-0.2973
M,21,181.3,2807.1,4000.0,1192.9,Moderately Active,Fair,9.0,-0.0325
M,19,171.9,2722.6,3434.8,712.2,Lightly Active,Poor,3.0,-0.1737
F,23,185.0,2587.0,3327.8,740.8,Sedentary,Good,3.0,0.0286
M,59,165.6,2459.7,4000.0,1540.3,Very Active,Good,2.0,0.0571
F,21,175.4,2500.7,3314.8,814.2,Sedentary,Poor,3.0,-0.0759
M,46,198.9,2858.2,4000.0,1141.8,Very Active,Poor,3.0,-0.1317
M,35,138.1,2304.3,3424.8,1120.5,Lightly Active,Excellent,5.0,0.0429
M,43,173.3,2616.4,4000.0,1383.6,Moderately Active,Good,5.0,0.0571
F,51,173.2,2328.2,2450.6,122.4,Sedentary,Fair,2.0,0.0
F,27,197.6,2692.7,4000.0,1307.3,Very Active,Excellent,6.0,0.0571
F,53,163.2,2218.5,2927.5,709.0,Sedentary,Poor,5.0,-0.0564
F,31,189.6,2592.4,4000.0,1407.6,Very Active,Poor,6.0,-0.2264
M,48,203.1,2889.6,3451.7,562.2,Sedentary,Good,1.0,0.0286
F,32,114.5,1836.6,2724.7,888.2,Very Active,Poor,5.0,-0.2021
M,25,205.1,3024.3,4000.0,975.7,Very Active,Fair,9.0,-0.1252
M,31,140.4,2348.1,3602.8,1254.6,Lightly Active,Good,2.0,0.0571
F,40,137.2,2023.3,3827.8,1804.5,Very Active,Poor,1.0,-0.1629
F,57,100.0,1566.5,2030.9,464.4,Lightly Active,Good,9.0,-0.2369
F,38,145.9,2120.5,3734.5,1614.0,Very Active,Poor,9.0,-0.1992
F,33,169.9,2385.0,3795.2,1410.2,Moderately Active,Poor,9.0,-0.3713
F,35,158.5,2261.5,3199.8,938.3,Moderately Active,Poor,6.0,-0.1033
F,41,156.1,2207.7,3458.1,1250.4,Moderately Active,Fair,8.0,-0.1255
F,43,136.6,2002.8,3669.0,1666.2,Very Active,Fair,1.0,0.0714
F,42,196.0,2601.7,3730.2,1128.5,Lightly Active,Good,4.0,0.0429
M,58,198.8,2796.3,3622.6,826.4,Lightly Active,Poor,1.0,-0.0695
F,46,182.5,2446.9,4000.0,1553.1,Very Active,Poor,8.0,-0.3142
F,32,113.4,1825.5,2987.7,1162.2,Moderately Active,Fair,1.0,0.0429
M,18,238.2,3390.8,4000.0,609.2,Moderately Active,Poor,3.0,-0.0817
F,42,174.4,2385.6,2829.4,443.8,Lightly Active,Fair,4.0,0.0143
M,24,186.2,2840.6,3911.7,1071.0,Moderately Active,Poor,8.0,-0.3441
M,26,125.1,2219.3,2647.8,428.5,Sedentary,Good,6.0,0.0143
F,41,169.7,2343.1,3103.8,760.7,Lightly Active,Poor,7.0,-0.2232
M,18,182.4,2832.8,4000.0,1167.2,Moderately Active,Poor,8.0,-0.2042
M,25,165.8,2631.5,3536.0,904.5,Lightly Active,Excellent,2.0,0.0429
M,41,196.2,2855.4,3623.3,767.9,Sedentary,Fair,8.0,-0.2009
M,28,209.0,3048.9,4000.0,951.1,Lightly Active,Poor,3.0,-0.0636
F,34,129.7,1978.4,2773.9,795.4,Lightly Active,Poor,7.0,-0.0781
M,25,195.5,2928.8,3758.6,829.8,Lightly Active,Excellent,3.0,0.0286
F,52,181.8,2409.8,2640.7,230.9,Lightly Active,Excellent,7.0,0.0143
M,52,169.9,2537.3,3269.5,732.2,Sedentary,Fair,2.0,0.0286
M,50,122.9,2077.5,4000.0,1922.5,Very Active,Excellent,6.0,0.0714
M,22,214.4,3132.7,4000.0,867.3,Lightly Active,Good,3.0,0.0286
M,59,181.9,2622.8,3656.2,1033.4,Lightly Active,Excellent,3.0,0.0429
F,56,116.5,1736.5,2756.5,1020.0,Moderately Active,Good,9.0,-0.1062
F,58,162.7,2188.6,3344.3,1155.8,Lightly Active,Fair,7.0,0.0429
M,45,179.8,2671.9,4000.0,1328.1,Moderately Active,Fair,5.0,0.0571
M,24,185.2,2830.7,4000.0,1169.3,Very Active,Fair,7.0,0.0429
