Gender,Age,Height,Weight,Exercise_Type,Duration,Intensity,Distance,Calories_Burned
Female,25,177.0,65.4,Cardio,53.4,Low,0.0,627.0
Female,31,176.0,61.1,Yoga,108.6,High,0.0,1358.0
Male,40,165.0,106.5,HIIT,79.2,Medium,0.0,1176.0
Female,57,152.0,64.0,Strength,103.8,High,0.0,1004.0
Female,38,154.0,61.4,HIIT,88.2,Medium,0.0,963.0
Female,33,163.0,40.5,Yoga,64.2,Medium,0.0,786.0
Male,35,179.0,70.1,Cardio,64.8,Medium,0.0,743.0
Male,41,162.0,94.1,Cardio,67.8,Medium,0.0,777.0
Male,43,182.0,55.5,Strength,64.8,Low,0.0,663.0
Female,42,172.0,53.7,Cardio,82.2,Low,0.0,875.0
Female,58,175.0,66.1,Cardio,37.8,Low,0.0,363.0
Male,46,177.0,103.9,Yoga,70.8,Low,0.0,864.0
Female,32,158.0,61.7,HIIT,112.2,High,0.0,1262.0
Female,18,174.0,52.3,Cardio,72.0,Low,0.0,990.0
Female,42,174.0,59.5,Yoga,106.8,High,0.0,1129.0
Female,24,176.0,72.9,Yoga,51.6,Low,0.0,546.0
Female,26,163.0,76.7,Strength,64.8,Low,0.0,751.0
Male,41,183.0,72.1,Yoga,67.8,Medium,0.0,744.0
Female,18,168.0,54.8,Strength,76.2,Medium,0.0,1003.0
Male,25,188.0,105.0,Cardio,80.4,Medium,0.0,1150.0
Female,41,155.0,55.0,Strength,87.0,Medium,0.0,1103.0
Male,28,166.0,81.6,Yoga,65.4,Medium,0.0,917.0
Female,34,160.0,75.6,HIIT,38.4,Low,0.0,416.0
Male,25,161.0,81.5,HIIT,115.8,High,0.0,1688.0
Female,52,169.0,61.5,Cardio,108.0,High,0.0,1231.0
Male,52,163.0,74.0,Cardio,75.6,Medium,0.0,936.0
Female,50,159.0,56.4,HIIT,75.6,Low,0.0,924.0
Male,22,184.0,102.6,Strength,75.0,Medium,0.0,1052.0
Female,59,157.0,54.6,Cardio,34.8,Low,0.0,441.0
Male,56,178.0,129.0,Yoga,77.4,Low,0.0,805.0
Male,58,166.0,103.5,Cardio,79.8,Low,0.0,1106.0
Female,45,151.0,59.4,Strength,69.0,Medium,0.0,735.0
Female,24,179.0,60.1,Cardio,118.2,High,0.0,1625.0
Male,26,162.0,77.7,Yoga,69.6,Medium,0.0,804.0
Female,25,162.0,41.2,Yoga,89.4,Medium,0.0,1073.0
Male,29,161.0,58.6,Yoga,72.0,Medium,0.0,805.0
Male,51,178.0,109.3,Strength,32.4,Low,0.0,420.0
Male,50,196.0,69.6,Strength,58.2,Low,0.0,667.0
Female,40,179.0,56.2,Yoga,107.4,High,0.0,1369.0
Male,41,196.0,71.7,Yoga,30.6,Low,0.0,424.0
Male,54,193.0,86.0,Strength,104.4,High,0.0,1404.0
Female,52,159.0,79.4,Strength,83.4,Medium,0.0,1020.0
Female,57,162.0,78.4,Strength,60.6,Medium,0.0,677.0
Female,39,160.0,55.4,HIIT,86.4,Medium,0.0,979.0
Female,44,155.0,61.7,Strength,84.6,Medium,0.0,819.0
Male,52,182.0,85.5,Yoga,106.8,High,0.0,1357.0
Male,18,193.0,87.6,HIIT,103.2,High,0.0,1315.0
Male,52,172.0,82.4,Strength,60.6,Medium,0.0,685.0
Male,54,168.0,67.0,Yoga,33.0,Low,0.0,446.0
Female,31,160.0,42.3,Cardio,65.4,Medium,0.0,888.0
Male,20,199.0,82.7,HIIT,101.4,High,0.0,1357.0
Male,18,174.0,92.4,Yoga,84.6,Low,0.0,1303.0
Female,22,154.0,63.2,Cardio,61.2,Medium,0.0,790.0
Male,43,185.0,82.7,Yoga,73.2,Medium,0.0,858.0
Male,31,176.0,86.6,Strength,77.4,Medium,0.0,1071.0
Male,56,195.0,129.5,Strength,60.0,Low,0.0,639.0
Male,44,183.0,98.0,Cardio,76.8,Medium,0.0,824.0
Male,26,168.0,86.2,Strength,118.2,High,0.0,1701.0
Male,32,162.0,78.6,Yoga,76.8,Low,0.0,880.0
Female,32,166.0,59.0,Cardio,30.6,Low,0.0,408.0
Female,43,179.0,57.3,Yoga,118.8,High,0.0,1479.0
Male,59,189.0,122.3,Yoga,39.6,Low,0.0,500.0
Male,30,195.0,85.3,Yoga,96.6,High,0.0,1373.0
Female,49,174.0,45.2,Strength,74.4,Medium,0.0,870.0
Male,56,192.0,55.6,Strength,40.8,Low,0.0,458.0
Male,49,195.0,82.8,Yoga,114.6,High,0.0,1503.0
Male,21,166.0,125.2,HIIT,82.8,Medium,0.0,1207.0
Female,47,179.0,58.5,Yoga,85.2,Medium,0.0,837.0
Male,54,195.0,86.1,Yoga,70.2,Low,0.0,811.0
Female,40,161.0,63.5,Cardio,78.6,Medium,0.0,1041.0
Male,56,168.0,69.3,Yoga,39.6,Low,0.0,451.0
Female,32,162.0,70.5,Strength,74.4,Low,0.0,756.0
Female,46,165.0,60.1,Cardio,101.4,High,0.0,1042.0
Male,53,195.0,94.1,HIIT,53.4,Low,0.0,608.0
Female,30,162.0,79.2,Cardio,75.6,Medium,0.0,1046.0
Male,49,191.0,115.3,HIIT,82.8,Low,0.0,854.0
Female,24,179.0,62.9,Cardio,85.2,Medium,0.0,958.0
Male,39,164.0,62.0,Cardio,58.2,Low,0.0,678.0
Male,45,178.0,88.5,HIIT,91.8,High,0.0,1265.0
Female,19,177.0,73.9,Strength,76.8,Medium,0.0,877.0
Male,59,195.0,50.3,Strength,64.2,Low,0.0,885.0
Male,23,180.0,83.1,Strength,42.0,Low,0.0,624.0
Female,45,178.0,65.1,Cardio,87.6,Low,0.0,1038.0
Male,45,179.0,46.6,Yoga,87.6,Medium,0.0,1214.0
Male,37,189.0,103.5,Cardio,32.4,Low,0.0,499.0
Female,47,154.0,61.9,Yoga,117.0,High,0.0,1150.0
Female,28,161.0,52.0,Yoga,79.2,Medium,0.0,1082.0
Male,45,171.0,113.4,Strength,49.8,Low,0.0,530.0
Male,42,198.0,62.9,Yoga,85.2,Medium,0.0,886.0
Female,56,180.0,40.4,Cardio,73.8,Medium,0.0,913.0
Female,50,175.0,67.1,Cardio,40.2,Low,0.0,362.0
Male,18,161.0,70.0,Strength,78.0,Low,0.0,1201.0
Female,44,175.0,69.5,HIIT,61.2,Low,0.0,711.0
Male,30,166.0,107.9,Cardio,64.8,Medium,0.0,832.0
Male,58,191.0,109.0,Yoga,89.4,Medium,0.0,1151.0
Male,20,191.0,101.0,Cardio,81.6,Medium,0.0,1070.0
Male,56,185.0,88.5,Cardio,94.2,High,0.0,1119.0
Male,23,180.0,80.9,Cardio,93.0,High,0.0,1074.0
Female,25,162.0,43.1,HIIT,62.4,Medium,0.0,837.0
Female,44,152.0,59.1,Yoga,94.8,High,0.0,967.0
Female,26,153.0,54.0,Strength,68.4,Low,0.0,844.0
Female,54,178.0,72.3,Cardio,76.2,Low,0.0,852.0
Male,50,198.0,51.1,Yoga,55.2,Low,0.0,574.0
Male,59,172.0,89.4,Yoga,64.8,Low,0.0,813.0
Male,41,180.0,51.5,Strength,65.4,Medium,0.0,680.0
Male,32,188.0,87.9,Cardio,91.2,High,0.0,1195.0
Female,49,152.0,42.0,HIIT,66.0,Low,0.0,644.0
Male,49,172.0,79.2,Yoga,87.6,Low,0.0,925.0
Male,41,171.0,64.8,Strength,72.0,Medium,0.0,778.0
Female,58,178.0,63.0,HIIT,94.8,High,0.0,1095.0
Female,29,177.0,56.2,Yoga,40.8,Low,0.0,418.0
Female,56,164.0,52.9,Cardio,66.0,Medium,0.0,767.0
Female,19,169.0,49.0,Yoga,63.0,Low,0.0,772.0
Male,20,184.0,128.2,HIIT,49.8,Low,0.0,603.0
Male,54,186.0,83.6,HIIT,92.4,High,0.0,1082.0
Female,34,177.0,56.2,Cardio,108.6,High,0.0,1249.0
Male,19,178.0,87.8,Cardio,76.8,Low,0.0,1133.0
Male,19,185.0,85.9,Strength,99.6,High,0.0,1424.0
Male,45,187.0,51.1,Cardio,86.4,Medium,0.0,1126.0
Female,40,171.0,57.4,Strength,112.2,High,0.0,1337.0
Male,54,192.0,114.9,HIIT,72.0,Medium,0.0,802.0
Female,49,166.0,62.1,HIIT,82.2,Medium,0.0,937.0
Male,50,191.0,57.1,Yoga,65.4,Medium,0.0,707.0
Male,18,180.0,68.1,Yoga,66.0,Medium,0.0,926.0
Male,36,165.0,69.2,Strength,73.8,Low,0.0,852.0
Female,19,152.0,65.2,Cardio,73.8,Low,0.0,800.0
Male,43,173.0,108.6,Cardio,79.8,Low,0.0,988.0
Female,49,165.0,40.0,Yoga,61.8,Medium,0.0,686.0
Female,23,158.0,41.9,HIIT,33.6,Low,0.0,370.0
Female,49,152.0,68.3,Strength,87.0,Medium,0.0,979.0
Male,21,160.0,88.4,HIIT,102.6,High,0.0,1138.0
Male,28,190.0,66.0,HIIT,70.8,Low,0.0,1025.0
Male,34,164.0,71.9,Cardio,75.6,Medium,0.0,929.0
Male,55,171.0,75.6,Strength,61.8,Medium,0.0,663.0
Female,41,159.0,63.4,HIIT,110.4,High,0.0,1267.0
Female,22,177.0,71.6,Yoga,89.4,Low,0.0,1177.0
Female,51,177.0,57.4,Yoga,64.8,Medium,0.0,598.0
Male,23,199.0,83.8,Cardio,107.4,High,0.0,1280.0
Female,39,171.0,55.9,Yoga,117.0,High,0.0,1443.0
Male,28,176.0,87.0,Yoga,72.0,Medium,0.0,799.0
Female,33,171.0,65.3,HIIT,70.8,Medium,0.0,796.0
Male,50,167.0,45.4,Yoga,82.2,Medium,0.0,1071.0
Male,26,187.0,87.1,Yoga,102.6,High,0.0,1241.0
Female,23,173.0,78.6,HIIT,88.2,Medium,0.0,1147.0
Female,33,171.0,78.0,Cardio,64.8,Low,0.0,734.0
Female,46,153.0,58.0,Cardio,109.8,High,0.0,1153.0
Female,20,169.0,71.3,Strength,76.8,Medium,0.0,1043.0
Male,37,174.0,49.1,Yoga,66.6,Medium,0.0,842.0
Female,53,165.0,78.3,HIIT,74.4,Low,0.0,703.0
Female,36,164.0,57.3,Strength,67.8,Medium,0.0,887.0
Female,43,161.0,48.4,Cardio,76.8,Low,0.0,732.0
Male,20,162.0,76.4,Cardio,81.0,Medium,0.0,980.0
Male,36,177.0,110.2,HIIT,71.4,Low,0.0,1021.0
Female,37,176.0,72.9,Strength,72.6,Medium,0.0,732.0
Male,49,186.0,82.1,Strength,112.2,High,0.0,1481.0
Female,24,176.0,58.9,HIIT,37.8,Low,0.0,410.0
Male,58,187.0,82.2,HIIT,94.2,High,0.0,1111.0
Male,50,172.0,96.7,Strength,87.6,Medium,0.0,903.0
Male,57,186.0,81.4,Cardio,108.0,High,0.0,1292.0
Male,56,173.0,107.8,Yoga,65.4,Medium,0.0,680.0
Female,35,162.0,65.8,Cardio,60.0,Medium,0.0,790.0
Female,57,156.0,68.5,HIIT,87.0,Medium,0.0,900.0
Female,18,159.0,63.9,Strength,112.2,High,0.0,1169.0
Male,28,162.0,76.3,Strength,69.6,Medium,0.0,1034.0
Female,45,165.0,44.5,Yoga,86.4,Low,0.0,959.0
Female,42,175.0,50.7,Strength,77.4,Medium,0.0,940.0
Female,40,161.0,55.1,Yoga,93.0,High,0.0,1224.0
Male,48,161.0,73.7,Cardio,81.6,Medium,0.0,815.0
Male,47,177.0,55.6,Cardio,72.0,Medium,0.0,820.0
Male,59,176.0,86.9,Strength,67.8,Medium,0.0,688.0
Female,52,168.0,60.3,Strength,96.0,High,0.0,900.0
Female,24,164.0,40.4,HIIT,59.4,Low,0.0,832.0
Female,33,166.0,78.5,HIIT,77.4,Medium,0.0,1006.0
Male,43,172.0,102.6,Strength,49.2,Low,0.0,597.0
Male,19,191.0,110.8,Strength,78.6,Low,0.0,1074.0
Female,18,179.0,60.9,Cardio,66.6,Low,0.0,699.0
Male,29,161.0,55.7,Strength,84.6,Low,0.0,993.0
Male,22,192.0,110.5,HIIT,69.6,Medium,0.0,919.0
Male,54,171.0,55.2,Cardio,46.2,Low,0.0,579.0
Male,49,172.0,46.5,Yoga,84.0,Medium,0.0,832.0
Female,26,166.0,70.9,HIIT,48.6,Low,0.0,506.0
Male,58,175.0,74.6,HIIT,65.4,Low,0.0,739.0
Male,52,172.0,45.1,Cardio,55.8,Low,0.0,594.0
Male,36,199.0,99.9,Yoga,79.8,Low,0.0,1075.0
Male,33,161.0,117.0,HIIT,62.4,Medium,0.0,744.0
Female,20,173.0,75.9,Strength,83.4,Medium,0.0,1056.0
Female,37,164.0,71.2,HIIT,66.6,Medium,0.0,666.0
Male,41,172.0,78.8,Cardio,60.6,Medium,0.0,660.0
Male,50,169.0,50.6,Cardio,78.6,Low,0.0,1012.0
Male,41,179.0,82.5,Cardio,101.4,High,0.0,1163.0
Male,28,179.0,108.5,HIIT,79.8,Medium,0.0,878.0
Male,25,198.0,49.9,Yoga,69.0,Medium,0.0,772.0
Male,53,191.0,125.1,Strength,31.2,Low,0.0,353.0
Female,55,166.0,79.7,Cardio,63.6,Low,0.0,763.0
Male,57,163.0,126.8,Yoga,57.6,Low,0.0,632.0
Female,37,157.0,54.6,Strength,78.6,Low,0.0,982.0
Female,52,154.0,47.8,Cardio,80.4,Medium,0.0,880.0
Male,42,191.0,97.9,Strength,60.6,Medium,0.0,680.0
Female,52,154.0,63.1,Strength,81.6,Medium,0.0,1010.0
Female,42,169.0,72.4,Yoga,64.2,Medium,0.0,713.0
Female,46,170.0,58.9,Strength,91.2,High,0.0,1060.0
Female,35,160.0,50.4,Cardio,61.8,Medium,0.0,803.0
Female,35,159.0,64.2,Yoga,97.8,High,0.0,1182.0
Female,19,177.0,58.8,HIIT,84.0,Low,0.0,952.0
Male,52,162.0,105.2,HIIT,81.6,Low,0.0,949.0
Female,33,150.0,45.9,Yoga,55.2,Low,0.0,662.0
Female,58,163.0,65.2,HIIT,67.2,Medium,0.0,610.0
Female,53,179.0,56.3,Strength,91.2,High,0.0,964.0
Male,50,170.0,90.0,Cardio,48.6,Low,0.0,497.0
Female,21,170.0,60.0,Strength,118.2,High,0.0,1212.0
Male,50,171.0,51.5,Yoga,88.8,Low,0.0,1136.0
Female,31,164.0,63.1,Cardio,92.4,High,0.0,962.0
Male,38,177.0,91.5,Yoga,48.0,Low,0.0,616.0
Male,37,167.0,48.7,Yoga,83.4,Low,0.0,1009.0
Female,25,156.0,57.8,Yoga,81.0,Medium,0.0,1053.0
Female,24,175.0,42.0,Strength,49.8,Low,0.0,598.0
Male,20,192.0,128.4,Cardio,37.8,Low,0.0,502.0
Female,34,157.0,74.2,Cardio,88.2,Low,0.0,1161.0
Male,50,168.0,89.6,Cardio,107.4,High,0.0,1232.0
Male,29,200.0,125.9,Strength,81.6,Medium,0.0,1137.0
Male,39,199.0,105.5,HIIT,48.6,Low,0.0,593.0
Male,39,170.0,93.4,Strength,66.0,Medium,0.0,938.0
Male,47,184.0,82.1,Strength,82.2,Medium,0.0,922.0
Female,55,169.0,42.9,Yoga,54.0,Low,0.0,567.0
Male,55,168.0,128.4,Cardio,67.8,Medium,0.0,923.0
Male,25,196.0,112.4,Cardio,85.2,Low,0.0,1054.0
Female,44,179.0,77.7,HIIT,84.6,Low,0.0,1047.0
Male,44,199.0,89.3,HIIT,84.0,Medium,0.0,936.0
Female,51,155.0,70.3,Yoga,84.0,Low,0.0,876.0
Female,38,172.0,59.1,Cardio,64.2,Medium,0.0,792.0
Female,47,169.0,49.9,HIIT,88.8,Medium,0.0,979.0
Male,50,167.0,101.7,HIIT,31.8,Low,0.0,333.0
Male,45,191.0,93.0,Cardio,61.8,Medium,0.0,729.0
Male,50,160.0,87.4,Strength,46.2,Low,0.0,465.0
Female,22,161.0,55.1,HIIT,97.2,High,0.0,1166.0
Male,36,169.0,123.7,Cardio,78.0,Medium,0.0,987.0
Female,21,157.0,61.3,HIIT,116.4,High,0.0,1474.0
Male,52,194.0,72.3,Yoga,87.6,Medium,0.0,874.0
Female,34,153.0,69.2,HIIT,81.6,Low,0.0,911.0
Male,45,161.0,81.4,Cardio,68.4,Medium,0.0,796.0
Male,47,186.0,84.8,HIIT,111.0,High,0.0,1181.0
Male,46,172.0,55.1,Yoga,85.8,Medium,0.0,970.0
Female,23,178.0,59.0,Yoga,100.2,High,0.0,1177.0
Female,52,151.0,64.9,HIIT,109.8,High,0.0,1359.0
Male,58,175.0,109.7,HIIT,60.6,Low,0.0,840.0
Male,54,190.0,78.4,Yoga,48.6,Low,0.0,585.0
Female,41,179.0,76.7,Yoga,84.0,Medium,0.0,832.0
Female,46,161.0,63.1,Strength,60.0,Medium,0.0,684.0
Female,48,158.0,62.9,Strength,118.8,High,0.0,1105.0
Male,52,174.0,85.6,Yoga,110.4,High,0.0,1321.0
Female,50,157.0,66.3,HIIT,75.0,Low,0.0,742.0
Male,38,197.0,61.3,Cardio,82.2,Low,0.0,1100.0
Female,49,165.0,44.1,HIIT,69.6,Medium,0.0,694.0
Male,40,162.0,63.8,HIIT,78.0,Low,0.0,1022.0
Female,50,155.0,55.4,Strength,111.0,High,0.0,1016.0
Female,20,158.0,74.7,Strength,62.4,Medium,0.0,863.0
Female,35,167.0,78.0,Strength,67.8,Medium,0.0,949.0
Female,42,167.0,57.5,Yoga,68.4,Low,0.0,764.0
Female,59,173.0,60.7,Yoga,61.8,Medium,0.0,714.0
Male,48,174.0,69.0,HIIT,88.8,Medium,0.0,1223.0
Female,20,178.0,75.8,HIIT,85.2,Medium,0.0,944.0
Female,57,163.0,75.7,Cardio,41.4,Low,0.0,407.0
Female,41,164.0,71.2,HIIT,85.2,Medium,0.0,939.0
Male,49,168.0,85.0,HIIT,109.2,High,0.0,1468.0
Female,39,156.0,63.6,Strength,73.2,Low,0.0,903.0
Male,40,194.0,73.2,Strength,48.6,Low,0.0,722.0
Female,19,152.0,48.3,Strength,57.6,Low,0.0,653.0
Female,44,178.0,42.8,Strength,89.4,Medium,0.0,1066.0
Male,59,176.0,88.1,Strength,81.0,Medium,0.0,1123.0
Female,19,175.0,72.4,Cardio,72.0,Medium,0.0,840.0
Male,43,188.0,73.2,Cardio,70.2,Low,0.0,822.0
Male,34,186.0,110.5,Cardio,85.2,Low,0.0,1086.0
Female,57,176.0,46.1,Strength,86.4,Medium,0.0,842.0
Male,50,171.0,90.8,Yoga,64.2,Medium,0.0,810.0
Female,26,151.0,59.3,Strength,102.0,High,0.0,1096.0
Female,56,173.0,45.1,Strength,49.8,Low,0.0,482.0
Male,46,177.0,45.0,Cardio,88.8,Medium,0.0,1187.0
Male,59,162.0,89.4,Strength,85.8,Medium,0.0,885.0
Male,43,169.0,127.7,Cardio,68.4,Medium,0.0,875.0
Male,52,172.0,70.9,Strength,78.6,Medium,0.0,927.0
Female,42,150.0,49.2,HIIT,69.0,Medium,0.0,678.0
Female,41,179.0,62.3,Yoga,119.4,High,0.0,1451.0
Male,30,187.0,64.1,Yoga,38.4,Low,0.0,500.0
Female,24,175.0,69.7,Cardio,84.6,Low,0.0,1029.0
Female,53,159.0,56.9,HIIT,89.4,Medium,0.0,1100.0
Female,37,171.0,53.0,Yoga,67.8,Medium,0.0,881.0
Female,18,155.0,72.7,Cardio,50.4,Low,0.0,525.0
Male,25,196.0,76.5,Strength,40.2,Low,0.0,442.0
Male,33,199.0,113.6,Strength,82.8,Low,0.0,949.0
Female,31,162.0,62.5,HIIT,93.6,High,0.0,1318.0
Male,29,186.0,95.2,Yoga,38.4,Low,0.0,496.0
Male,40,182.0,51.7,Strength,54.0,Low,0.0,792.0
Male,32,167.0,105.3,Cardio,34.2,Low,0.0,448.0
Female,45,168.0,71.2,Strength,82.2,Low,0.0,888.0
Female,51,151.0,78.1,Strength,55.2,Low,0.0,555.0
Female,19,168.0,50.6,Yoga,72.6,Medium,0.0,877.0
Male,49,189.0,70.2,Yoga,42.0,Low,0.0,440.0
Female,40,153.0,62.6,Cardio,115.8,High,0.0,1380.0
Female,39,165.0,60.6,HIIT,55.2,Low,0.0,768.0
Male,42,197.0,76.4,HIIT,68.4,Medium,0.0,886.0
Female,39,171.0,63.3,Strength,112.8,High,0.0,1175.0
Female,39,164.0,68.6,Cardio,79.8,Medium,0.0,1024.0
Male,59,188.0,123.3,HIIT,78.0,Medium,0.0,1036.0
Male,23,194.0,107.0,HIIT,81.0,Low,0.0,891.0
Male,32,192.0,68.3,Strength,85.2,Low,0.0,1289.0
Female,54,160.0,47.8,Cardio,71.4,Medium,0.0,830.0
Female,50,179.0,58.4,HIIT,96.0,High,0.0,943.0
Female,25,171.0,74.3,Yoga,85.8,Medium,0.0,1123.0
Male,22,182.0,106.8,Yoga,60.0,Medium,0.0,715.0
Male,56,180.0,125.5,Strength,75.6,Medium,0.0,817.0
Female,21,155.0,55.2,Strength,82.2,Medium,0.0,1103.0
Female,23,172.0,71.4,Strength,75.0,Low,0.0,1056.0
Male,49,161.0,77.7,Strength,61.8,Medium,0.0,806.0
Male,47,160.0,88.4,HIIT,111.6,High,0.0,1160.0
Male,52,199.0,104.8,Cardio,55.8,Low,0.0,598.0
Male,57,169.0,82.2,Strength,69.0,Medium,0.0,882.0
Female,33,175.0,68.2,Strength,51.0,Low,0.0,638.0
Male,30,199.0,91.4,HIIT,82.2,Medium,0.0,1145.0
Female,59,165.0,42.1,Strength,73.2,Low,0.0,725.0
Female,47,176.0,68.7,Strength,82.2,Medium,0.0,845.0
Female,36,174.0,47.2,Cardio,90.0,Medium,0.0,1200.0
Male,34,176.0,92.0,Yoga,43.8,Low,0.0,574.0
Male,36,195.0,56.2,Strength,65.4,Medium,0.0,767.0
Male,45,172.0,58.4,HIIT,78.6,Medium,0.0,973.0
Male,43,195.0,82.9,Cardio,114.0,High,0.0,1505.0
Female,54,174.0,66.9,HIIT,74.4,Low,0.0,720.0
Male,43,185.0,66.3,Cardio,70.8,Low,0.0,707.0
Male,40,193.0,93.6,Cardio,82.8,Low,0.0,1192.0
Female,26,150.0,64.1,Strength,115.8,High,0.0,1293.0
Male,29,162.0,86.7,Strength,91.2,High,0.0,1020.0
Female,18,159.0,62.0,Strength,73.8,Medium,0.0,996.0
Female,18,161.0,58.1,Yoga,114.0,High,0.0,1425.0
Female,51,160.0,64.9,Yoga,89.4,Medium,0.0,838.0
Female,49,162.0,69.3,HIIT,68.4,Medium,0.0,626.0
Female,42,174.0,42.7,Strength,62.4,Low,0.0,608.0
Female,57,163.0,51.4,Yoga,72.0,Medium,0.0,724.0
Female,18,160.0,67.4,Strength,36.0,Low,0.0,492.0
Female,33,161.0,55.6,Yoga,106.2,High,0.0,1301.0
Male,56,186.0,125.3,Yoga,60.0,Medium,0.0,639.0
Male,22,185.0,102.1,Cardio,88.8,Medium,0.0,1278.0
Male,39,177.0,61.9,Strength,79.2,Low,0.0,1205.0
Male,46,164.0,108.8,Strength,84.0,Low,0.0,1171.0
Female,20,158.0,51.1,Yoga,30.0,Low,0.0,422.0
Male,29,199.0,81.7,Strength,87.0,Low,0.0,1005.0
Female,43,166.0,42.7,Yoga,43.8,Low,0.0,440.0
Male,33,199.0,81.8,Strength,95.4,High,0.0,1198.0
Male,54,176.0,54.6,Cardio,76.8,Medium,0.0,868.0
Male,39,188.0,107.7,Strength,43.2,Low,0.0,634.0
Female,46,160.0,56.9,Cardio,52.8,Low,0.0,566.0
Male,31,171.0,78.8,HIIT,89.4,Medium,0.0,992.0
